country,indicator,year,value
MAR,Health spend %GDP,2022,5.68049145
TUN,Health spend %GDP,2022,6.96380186
DZA,Health spend %GDP,2022,3.6230433
EGY,Health spend %GDP,2022,4.70438385
ESP,Health spend %GDP,2022,9.73828793
PRT,Health spend %GDP,2023,10.00331116
MAR,Primary enroll %,2023,114.473091125488
TUN,Primary enroll %,2023,103.529930114746
DZA,Primary enroll %,2023,108.761642456055
EGY,Primary enroll %,2023,90.3061828613281
ESP,Primary enroll %,2022,102.445991516113
PRT,Primary enroll %,2022,109.846130371094
